iter	Passed	Remaining
816	12853	2878
817	12873	2864
818	12885	2847
819	12906	2833
820	12920	2816
821	12932	2800
822	12944	2783
823	12958	2767
824	12965	2750
825	12978	2734
826	12999	2719
827	13012	2703
828	13031	2688
829	13044	2671
830	13060	2656
831	13072	2639
832	13085	2623
833	13097	2606
834	13117	2592
835	13129	2575
836	13140	2558
837	13153	2839	838	13169	2840	839	13186	2841	13173	2471
842	13185	2455
843	13197	2439
844	13209	2423
845	844	13253	2846	845	13268	2847	846	13287	2848	847	13300	2849	848849	1331850	849850	1332851	13322	2314
852	13338	2298
853	13354	2283
854	13369	2267
855	133855	1340856	133856	1342857	856	13442	2858	857	13464	2859	13447	2189
860	859	13494	2861	860861	1350862	134862	1352863	13516	2127
864	13531	2111
865	13552	2097
866	13571	2081
867	13587	2066
868	13606	2051
869	13620	2035
870	13631	2018
871	13641	2002
872	13654	1986
873	13670	1970
874	13683	1954
875	13701	1939
876	13716	1923
877	13731	1908
878	13751	1892
879	13770	1877
880	13782	1861
881	13794	1845
882	138882	1382883	13818	1813
884	883884	1385885	884	13873	1886	885	13890	1887	886	13904	1888	887	13922	1889	888	13941	1890	889	13960	1725
890	13974	1709
891	13994	1694
892	14007	1678
893	14022	1662
894	14042	1647
895	14053	1631
896	14067	1898	897	14086	1600
898	14105	1584
899	14120	1568
900	14136	1553
901	14147	1537
902	14162	1521
903	14179	1505
904	14193	1489
905	14211	1474
906	14224	1458
907	14241	1443
908909	14260	14909910	14278	13910911	14295	13911912	14310	13912913	14335	1348
914	14352	1333
915	14368	1317
916	14387	1302
917	14409	1287
918	14421	1271
919	14434	1255
920	14452	1239
921	14470	1224
922	14484	1208
923	14496	1192
924	14511	1176
925	14533	1161
926	14553	1146
927	14568	1130
928	14584	1114
929	14604	1099
930	14626	1084
931	14642	1068
932	14665	1053
933	14683	1037
934	14701	1022
935	14713	1006
936	14730	990
937	14742	974
938	14755	958
939	14776	943
940	14790	927
941	14810	911
942	14829	896
943	14847	880
944	14861	864
945	14881	849
946	14905	834
947	14929	818
948	14945	803
949	14975	788
950	14999	772
951	15020	757
952	15036	741
953	15049	725
954	15063	709
955	15082	694
956	15096	678
957	15104	662
958	15119	646
959	15138	630
960	15151	614
961	15166	599
962	15192	583
963	15204	567
964	15216	551
965	15228	535
966	15239	520
967	15255	504
968	15264	488
969	15276	472
970	15288	456
971	15301	440
972	15314	424
973	15322	409
974	15334	393
975	15342	377
976	15357	361
977	15371	345
978	15385	330
979	15399	314
980	15416	298
981	15428	282
982	15448	267
983	15456	251
984	15471	235
985	15484	219
986	15498	204
987	15505	188
988	15512	172
989	15519	156
990	15528	141
991	15536	125
992	15549	109
993	15564	93
994	15569	78
995	15574	62
996	15578	46
997	15583	31
998	15589	15
999	15594	0
999	15567	0
